rowid,fiscal_year,agency_name,payee_name,payee_zip,amount,purpose_of_payment_baltimore_county_only,mbe,payee_name_clean,payee_zip5,payee_name_refined,slug
17,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,ACEA,21505-5179,480846.53,NA,NA,ACEA,21505,ACEA,allegany-county
18,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MD ASSOC OF BOARDS OF EDUCATION,21401,442221,NA,NA,MD ASSOC OF BOARDS OF EDUCATION,21401,MARYLAND ASSOCIATION OF BOARDS OF EDUCATION,allegany-county
19,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,DEPARTMENT OF INFORMATION TECHNOLOGY,21032,377512.52,NA,NA,DEPARTMENT OF INFORMATION TECHNOLOGY,21032,MD DEPARTMENT OF INFORMATION TECHNOLOGY,allegany-county
20,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,SELECTIVE INSURANCE,19178-2747,375506,NA,NA,SELECTIVE INSURANCE,19178,SELECTIVE INSURANCE,allegany-county
21,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MCCRAY BUSING INC,21502,370021.33,NA,NA,MCCRAY BUSING INC,21502,MCCRAY BUSING INC,allegany-county
22,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,AMAZON BUSINESS,98124-5184,300819.33,NA,NA,AMAZON BUSINESS,98124,AMAZON,allegany-county
23,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,BEEMAN BUSING LLC,21539,281664,NA,NA,BEEMAN BUSING LLC,21539,BEEMAN BUSING LLC,allegany-county
24,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,J & S HAWKINS AND SONS,21502,274272,NA,NA,J & S HAWKINS AND SONS,21502,J & S HAWKINS AND SONS,allegany-county
25,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,HM RECEIVABLES CO LLC,60693,264355.29,NA,NA,HM RECEIVABLES CO LLC,60693,HM RECEIVABLES CO LLC,allegany-county
26,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,COLUMBIA GAS OF MARYLAND INC,45274-2519,246100.76,NA,NA,COLUMBIA GAS OF MARYLAND INC,45274,COLUMBIA GAS OF MARYLAND INC,allegany-county
27,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,AMERICAN UNITED LIFE INSURANCE COMPANY,46206-6123,241143.96,NA,NA,AMERICAN UNITED LIFE INSURANCE COMPANY,46206,AMERICAN UNITED LIFE INSURANCE COMPANY,allegany-county
28,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MAYOR & CITY COUNCIL OF CUMBERLAND,21501-1702,227630.8,NA,NA,MAYOR & CITY COUNCIL OF CUMBERLAND,21501,MAYOR & CITY COUNCIL OF CUMBERLAND,allegany-county
29,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,DEAFNET,21741,223412.27,NA,NA,DEAFNET,21741,DEAFNET,allegany-county
30,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,CAROUSEL INDUSTRIES OF NORTH AMERICAINC,02284-2084,219723.97,NA,NA,CAROUSEL INDUSTRIES OF NORTH AMERICAINC,02284,CAROUSEL INDUSTRIES OF NORTH AMERICA INC,allegany-county
31,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,ALLEGANY COLLEGE OF MARYLAND,21502,214471.61,NA,NA,ALLEGANY COLLEGE OF MARYLAND,21502,ALLEGANY COLLEGE OF MARYLAND,allegany-county
32,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,RANKER SCHOOL BUS SERVICE,21529,204781.83,NA,NA,RANKER SCHOOL BUS SERVICE,21529,RANKER SCHOOL BUS SERVICE,allegany-county
33,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,AMERICAN TRUCK & BUS INC,21401-7074,199116.87,NA,NA,AMERICAN TRUCK & BUS INC,21401,AMERICAN TRUCK & BUS INC,allegany-county
34,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,KSB BUS SERVICE,21532,191753,NA,NA,KSB BUS SERVICE,21532,KSB BUS SERVICE,allegany-county
35,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,TIAA COMMERCIAL FINANCE INC,80291-1608,189176.97,NA,NA,TIAA COMMERCIAL FINANCE INC,80291,TIAA COMMERCIAL FINANCE INC,allegany-county
36,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MD STATE RETIREMENT AGENCY,21202-6700,189094.36,NA,NA,MD STATE RETIREMENT AGENCY,21202,MARYLAND STATE RETIREMENT & PENSION SYSTEM,allegany-county
37,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,DELTA EDUCATION LLC,60693-0326,185621.55,NA,NA,DELTA EDUCATION LLC,60693,DELTA EDUCATION LLC,allegany-county
38,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,TYLER TECHNOLOGIES INC,75320-3556,179837,NA,NA,TYLER TECHNOLOGIES INC,75320,TYLER TECHNOLOGIES INC,allegany-county
39,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,POTOMAC FARMS DAIRY INC,21503-2189,176922.13,NA,NA,POTOMAC FARMS DAIRY INC,21503,POTOMAC FARMS DAIRY INC,allegany-county
40,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,UGI ENERGY SERVICES INC,19182,176262.57,NA,NA,UGI ENERGY SERVICES INC,19182,UGI ENERGY SERVICES INC,allegany-county
41,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,SKYLINE TECHNOLOGY SOLUTIONS,21061,171939.16,NA,NA,SKYLINE TECHNOLOGY SOLUTIONS,21061,SKYLINE TECHNOLOGY SOLUTIONS,allegany-county
42,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,SOUTHERN STATES COOP INC,21502,165165.87,NA,NA,SOUTHERN STATES COOP INC,21502,SOUTHERN STATES COOPERATIVE INC,allegany-county
43,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,WEISS BROS OF HAGERSTOWN INC,21740,153010.37,NA,NA,WEISS BROS OF HAGERSTOWN INC,21740,WEISS BROS OF HAGERSTOWN INC,allegany-county
44,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,NELLIE M RADER,21555,148851,NA,NA,NELLIE M RADER,21555,NELLIE M RADER,allegany-county
45,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,JOY L TORBET,21502,142402,NA,NA,JOY L TORBET,21502,JOY L TORBET,allegany-county
46,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MURRAY BUSING INC,21502,131968,NA,NA,MURRAY BUSING INC,21502,MURRAY BUSING INC,allegany-county
47,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,ARK SYSTEMS INC,21045,129463.75,NA,NA,ARK SYSTEMS INC,21045,ARK SYSTEMS INC,allegany-county
48,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,NATIONAL VISION ADMINISTRATORS LLC,02241-6421,128501.12,NA,NA,NATIONAL VISION ADMINISTRATORS LLC,02241,NATIONAL VISION ADMINISTRATORS LLC,allegany-county
49,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,NATIONAL CENTER ON INSTITUTIONS AND ALTERNATIVES,21244,128152.8,NA,NA,NATIONAL CENTER ON INSTITUTIONS AND ALTERNATIVES,21244,NATIONAL CENTER ON INSTITUTIONS & ALTERNATIVES,allegany-county
50,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,LESTER A CHANEY,21550,127205,NA,NA,LESTER A CHANEY,21550,LESTER A CHANEY,allegany-county
51,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,PIVOT PHYSICAL THERAPY OF MARYLAND,21286,119426.88,NA,NA,PIVOT PHYSICAL THERAPY OF MARYLAND,21286,PIVOT PHYSICAL THERAPY OF MARYLAND,allegany-county
52,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,SEGRA,25339-1171,119357.93,NA,NA,SEGRA,25339,SEGRA,allegany-county
53,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MARYLAND STATE DEPARTMENT OF EDUCATION,21201,113526.57,NA,NA,MARYLAND STATE DEPARTMENT OF EDUCATION,21201,MARYLAND DEPARTMENT OF EDUCATION,allegany-county
54,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,CBIZ BENEFITS & INSURANCE SERVICES,60673-1282,112807.98,NA,NA,CBIZ BENEFITS & INSURANCE SERVICES,60673,CBIZ BENEFITS & INSURANCE SERVICES,allegany-county
55,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SDE Inc,03458-0577,35700,NA,NA,SDE INC,03458,SDE INC,anne-arundel-county
56,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,BEDFORD VALLEY PETROLEUM CORP,15537,109928.22,NA,NA,BEDFORD VALLEY PETROLEUM CORP,15537,BEDFORD VALLEY PETROLEUM CORP,allegany-county
57,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,BURGMEIER'S HAULING INC,16603,99586.75,NA,NA,BURGMEIER'S HAULING INC,16603,BURGMEIER'S HAULING INC,allegany-county
58,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,X2 DEVELOPMENT CORPORATION,60693-0620,98419,NA,NA,X2 DEVELOPMENT CORPORATION,60693,X2 DEVELOPMENT CORPORATION,allegany-county
59,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,DEPARTMENT OF JUVENILE SERVICES,21201,94995.46,NA,NA,DEPARTMENT OF JUVENILE SERVICES,21201,MARYLAND DEPARTMENT OF JUVENILE SERVICES,allegany-county
60,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,LIVENGOOD DEVORE & COMPANY INSURANCE,21502,91839,NA,NA,LIVENGOOD DEVORE & COMPANY INSURANCE,21502,LIVENGOOD DEVORE & COMPANY INSURANCE,allegany-county
61,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,CONTRACT PAPER GROUP INC,60674,89510.4,NA,NA,CONTRACT PAPER GROUP INC,60674,CONTRACT PAPER GROUP INC,allegany-county
62,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,FOOD SAFETY SOLUTIONS INC,19807,87658.24,NA,NA,FOOD SAFETY SOLUTIONS INC,19807,FOOD SAFETY SOLUTIONS INC,allegany-county
63,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,K NEAL INTERNATIONAL TRUCKS INC,20781,87324,NA,NA,K NEAL INTERNATIONAL TRUCKS INC,20781,K NEAL INTERNATIONAL TRUCKS,allegany-county
64,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,CITY OF FROSTBURG,21532,79615.12,NA,NA,CITY OF FROSTBURG,21532,CITY OF FROSTBURG,allegany-county
65,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,WOODBOURNE CENTER INC,21239,77204.41,NA,NA,WOODBOURNE CENTER INC,21239,WOODBOURNE CENTER INC,allegany-county
66,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,DAYCON,21264-9234,77133.47,NA,NA,DAYCON,21264,DAYCON,allegany-county
67,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,FOLLETT SCHOOL SOLUTIONS,60693-0918,76864.76,NA,NA,FOLLETT SCHOOL SOLUTIONS,60693,FOLLETT CORP,allegany-county
68,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MTS EQUIPMENT,22602,76323.21,NA,NA,MTS EQUIPMENT,22602,MTS EQUIPMENT,allegany-county
69,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,DISCOVERY EDUCATION,30374,75123.15,NA,NA,DISCOVERY EDUCATION,30374,DISCOVERY EDUCATION,allegany-county
70,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,FLETCHER TRANSPORTATION LLC,21555,74512,NA,NA,FLETCHER TRANSPORTATION LLC,21555,FLETCHER TRANSPORTATION LLC,allegany-county
71,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,ALLEGANY HIGH SCHOOL,21502,74257.32,NA,NA,ALLEGANY HIGH SCHOOL,21502,ALLEGANY HIGH SCHOOL,allegany-county
72,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,J A RADER,21555,73900,NA,NA,J A RADER,21555,J A RADER,allegany-county
73,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,SCHOOL SPECIALTY INC,60693-0656,73709.86,NA,NA,SCHOOL SPECIALTY INC,60693,SCHOOL SPECIALTY INC,allegany-county
74,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,CITY ELECTRIC ACCOUNTS,27415,73486.76,NA,NA,CITY ELECTRIC ACCOUNTS,27415,CITY ELECTRIC ACCOUNTS,allegany-county
75,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,GRAFTON SCHOOL INC,22604,72932.5,NA,NA,GRAFTON SCHOOL INC,22604,GRAFTON SCHOOL,allegany-county
76,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,G STEVEN HARTLEY,21766,71838,NA,NA,G STEVEN HARTLEY,21766,G STEVEN HARTLEY,allegany-county
77,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,EVERGREEN HERITAGE CENTER FOUNDATION,21532-2345,70842,NA,NA,EVERGREEN HERITAGE CENTER FOUNDATION,21532,EVERGREEN HERITAGE CENTER FOUNDATION,allegany-county
78,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,WESTERN MARYLAND 4-H EDUCATIONAL CENTER,21550,70349,NA,NA,WESTERN MARYLAND 4-H EDUCATIONAL CENTER,21550,WESTERN MARYLAND 4-H EDUCATIONAL CENTER,allegany-county
79,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,LARRY E AKERS,21766,69481,NA,NA,LARRY E AKERS,21766,LARRY E AKERS,allegany-county
80,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,GAMETIME,35968,68801.97,NA,NA,GAMETIME,35968,GAMETIME,allegany-county
81,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,LANDIS OFFICE CENTER INC,21502,68485.67,NA,NA,LANDIS OFFICE CENTER INC,21502,LANDIS OFFICE CENTER INC,allegany-county
82,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,RANDY D HELMICK,21530,68231,NA,NA,RANDY D HELMICK,21530,RANDY D HELMICK,allegany-county
83,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,ROYCE CRABTREE JR,21555,66925.15,NA,NA,ROYCE CRABTREE JR,21555,ROYCE CRABTREE JR,allegany-county
84,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,LEGO EDUCATION,60693,66372.75,NA,NA,LEGO EDUCATION,60693,LEGO EDUCATION,allegany-county
85,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,LARVIC,17013,66267,NA,NA,LARVIC,17013,LARVIC,allegany-county
86,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,ACEA-ESP,21505-5179,64981.47,NA,NA,ACEA-ESP,21505,ACEA-ESP,allegany-county
87,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MILLERS BUSING LLC,21539-1102,64640,NA,NA,MILLERS BUSING LLC,21539,MILLERS BUSING LLC,allegany-county
88,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,SCHMIDT BAKING COMPANY,02241,63855.77,NA,NA,SCHMIDT BAKING COMPANY,02241,SCHMIDT BAKING COMPANY,allegany-county
89,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,SCHOLASTIC INC,60175,63552.84,NA,NA,SCHOLASTIC INC,60175,SCHOLASTIC INC,allegany-county
90,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,LOWES CREDIT SERVICES,30353-0954,62756.24,NA,NA,LOWES CREDIT SERVICES,30353,LOWES CREDIT SERVICES,allegany-county
91,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,WESTERN MARYLAND OUTDOOR POWER INC,21502,61638.51,NA,NA,WESTERN MARYLAND OUTDOOR POWER INC,21502,WESTERN MARYLAND OUTDOOR POWER INC,allegany-county
92,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MCGRAW HILL SCHOOL EDUC HOLDINGS LLC,60694-1545,60111.24,NA,NA,MCGRAW HILL SCHOOL EDUC HOLDINGS LLC,60694,MCGRAW-HILL COMPANIES,allegany-county
93,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,XEROX CORPORATION,19182-7598,59643.25,NA,NA,XEROX CORPORATION,19182,XEROX CORPORATION,allegany-county
94,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,LIBERTY DISTRIBUTORS INC,26059,59613.56,NA,NA,LIBERTY DISTRIBUTORS INC,26059,LIBERTY DISTRIBUTORS INC,allegany-county
95,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,BELL TECHLOGIX,19182-3342,58915.8,NA,NA,BELL TECHLOGIX,19182,BELL TECH LOGIX,allegany-county
96,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,BOLLMAN CHARTER SERVICE INC,21502,58600,NA,NA,BOLLMAN CHARTER SERVICE INC,21502,BOLLMAN CHARTER SERVICE INC,allegany-county
97,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,IMAGINE LEARNING,84604,58242,NA,NA,IMAGINE LEARNING,84604,IMAGINE LEARNING,allegany-county
98,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,PHYLLIS SHACKELFORD,21561,57566,NA,NA,PHYLLIS SHACKELFORD,21561,PHYLLIS SHACKELFORD,allegany-county
99,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,STAPLES ADVANTAGE,19176-0242,57008.31,NA,NA,STAPLES ADVANTAGE,19176,STAPLES ADVANTAGE,allegany-county
100,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,ALLEGANY COUNTY TAX & UTILITY OFFICE,21502,55127.88,NA,NA,ALLEGANY COUNTY TAX & UTILITY OFFICE,21502,ALLEGANY COUNTY TAX & UTILITY OFFICE,allegany-county
101,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,TIME TECHNOLOGIES,24013,54840.82,NA,NA,TIME TECHNOLOGIES,24013,TIME TECHNOLOGIES,allegany-county
102,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,PINE MOUNTAIN COAL COMPANY,21532,54610,NA,NA,PINE MOUNTAIN COAL COMPANY,21532,PINE MOUNTAIN COAL COMPANY,allegany-county
103,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,PEARSON EDUCATION,30384-9496,54108.95,NA,NA,PEARSON EDUCATION,30384,PEARSON EDUCATION,allegany-county
104,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,AFSCME COUNCIL 67,21230-1939,51295.04,NA,NA,AFSCME COUNCIL 67,21230,AFSCME COUNCIL 67,allegany-county
105,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,OSTER BROTHERS TRUCK SERVICE,21502,50564.11,NA,NA,OSTER BROTHERS TRUCK SERVICE,21502,OSTER BROTHERS TRUCK SERVICE,allegany-county
106,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,AMERICAN EXPRESS,33313-4571,49781.14,NA,NA,AMERICAN EXPRESS,33313,AMERICAN EXPRESS,allegany-county
107,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,WESTERN MARYLAND MUSIC CENTER,21502,49345.13,NA,NA,WESTERN MARYLAND MUSIC CENTER,21502,WESTERN MARYLAND MUSIC CENTER,allegany-county
108,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,HAJOCA CORPORATION,15253-5906,49036.96,NA,NA,HAJOCA CORPORATION,15253,HAJOCA CORPORATION,allegany-county
109,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,E-Z OUT INC,21502,48090.25,NA,NA,E-Z OUT INC,21502,E-Z OUT INC,allegany-county
110,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MOUNTAIN RIDGE HIGH SCHOOL,21532,47645.52,NA,NA,MOUNTAIN RIDGE HIGH SCHOOL,21532,MOUNTAIN RIDGE HIGH SCHOOL,allegany-county
111,2019,BALTIMORE CITY PUBLIC SCHOOLS,VEX ROBOTICS INC,75402,27838.16,NA,NA,VEX ROBOTICS INC,75402,VEX ROBOTICS INC,baltimore-city
112,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,FORT HILL HIGH SCHOOL,21502,47495.43,NA,NA,FORT HILL HIGH SCHOOL,21502,FORT HILL HIGH SCHOOL,allegany-county
113,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,CINTAS CORPORATION LOC 386,45263-0803,47319.91,NA,NA,CINTAS CORPORATION LOC 386,45263,CINTAS CORPORATION,allegany-county
114,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,GREAT AMERICA FINANCIAL SERVICES,75266-0831,47061,NA,NA,GREAT AMERICA FINANCIAL SERVICES,75266,GREAT AMERICA FINANCIAL SERVICES,allegany-county
115,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,METEOR EDUCATION,30353,44334.4,NA,NA,METEOR EDUCATION,30353,METEOR EDUCATION,allegany-county
116,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,HUBER MICHAELS & COMPANY PA,21502,42890,NA,NA,HUBER MICHAELS & COMPANY PA,21502,HUBER MICHAELS & COMPANY PA,allegany-county
117,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,VOYAGER SOPRIS LEARNING,02284-4615,42204.48,NA,NA,VOYAGER SOPRIS LEARNING,02284,VOYAGER SOPRIS LEARNING INC,allegany-county
118,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,BLACKBOARD INC,15251-0154,41156.97,NA,NA,BLACKBOARD INC,15251,BLACKBOARD INC,allegany-county
119,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,CENTER FOR CAREER & TECHNICAL EDUCATION,21502,40885.19,NA,NA,CENTER FOR CAREER & TECHNICAL EDUCATION,21502,CENTER FOR CAREER & TECHNICAL EDUCATION,allegany-county
120,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,TERRI MURPHY-MCCAGH,21502,39475.57,NA,NA,TERRI MURPHY-MCCAGH,21502,TERRI MURPHY-MCCAGH,allegany-county
121,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,WEX BANK,60197-6293,39032.28,NA,NA,WEX BANK,60197,WEX BANK,allegany-county
122,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,BLACKBURN-RUSSELL COMPANY,15522-0157,38336.59,NA,NA,BLACKBURN-RUSSELL COMPANY,15522,BLACKBURN-RUSSELL COMPANY,allegany-county
123,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,APSASAC,21502,38194,NA,NA,APSASAC,21502,APSASAC,allegany-county
124,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,CANON FINANCIAL SERVICES INC,60693-0149,37959.82,NA,NA,CANON FINANCIAL SERVICES INC,60693,CANON FINANCIAL SERVICES INC,allegany-county
125,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,RAPTOR TECHNOLOGIES,77210-4458,37950,NA,NA,RAPTOR TECHNOLOGIES,77210,RAPTOR TECHNOLOGIES,allegany-county
126,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,EASTERN ELEVATOR SERVICE & SALES CO,15963-0158,37746.07,NA,NA,EASTERN ELEVATOR SERVICE & SALES CO,15963,EASTERN ELEVATOR SERVICE & SALES CO,allegany-county
127,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,GRIMM & PARKER ARCHITECTS,20705,37662.17,NA,NA,GRIMM & PARKER ARCHITECTS,20705,GRIMM & PARKER ARCHITECTS,allegany-county
128,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MASTER CARE FLOORING,21229,36778.86,NA,NA,MASTER CARE FLOORING,21229,MASTER CARE FLOORING INC,allegany-county
129,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,PESSIN KATZ LAW PA,21204,36754.44,NA,NA,PESSIN KATZ LAW PA,21204,PESSIN KATZ LAW PA,allegany-county
130,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,KEANY PRODUCE COMPANY,20785,35733.56,NA,NA,KEANY PRODUCE COMPANY,20785,KEANY PRODUCE COMPANY,allegany-county
131,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,NATIONAL FOOD GROUP INC,48377-2454,35566.9,NA,NA,NATIONAL FOOD GROUP INC,48377,NATIONAL FOOD GROUP,allegany-county
132,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,AIRGAS MID AMERICA,75373,35464.73,NA,NA,AIRGAS MID AMERICA,75373,AIRGAS MID AMERICA,allegany-county
